"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275233","test_glauth_integration","tests.integration","2026-09-25","passed","2026-09-25","","test_ldap","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2451","test_password_from_secret_same_as_cli","tests.integration","2026-09-25","passed","2026-09-25","","test_password_rotation","",""
"","83082","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_self_healing_1","",""
"Test superuser actions and the request for more permissions.","576","test_user_with_extra_roles","tests.integration.new_relations","2026-09-25","passed","2026-09-25","","test_new_relations_1","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","413373","test_deploy_stable","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_upgrade_from_stable","",""
"Test data persists through a failure.","90881","test_persist_data_through_failure","tests.integration","2026-09-25","passed","2026-09-25","","test_charm","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","682675","test_finos_waltz_db","tests.integration","2026-09-25","passed","2026-09-25","","test_db","",""
"","81354","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_self_healing_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","29636","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_self_healing_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","38788","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-09-25","skipped","2026-09-25","","test_backups_aws","",""
"Build and deploy a PostgreSQL cluster and a test application.","186322","test_deploy","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_restart","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-09-25","skipped","2026-09-25","","test_backups_gcp","",""
"Test charm deploy in dirty environment with garbage storage.","100547","test_app_garbage_ignorance","tests.integration.ha_tests","2026-09-25","passed","2026-09-25","","test_smoke","",""
"","40","test_exporter_is_up[2]","tests.integration","2026-09-25","passed","2026-09-25","","test_charm","",""
