"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that passwords don't get exposed on postgresql logs.","678","test_no_password_exposed_on_logs","tests.integration","2026-09-24","passed","2026-09-24","","test_password_rotation","",""
"","81416","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_self_healing_1","",""
"Test worker process configuration parameters are applied correctly.","46549","test_worker_process_configs","tests.integration","2026-09-24","passed","2026-09-24","","test_config","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","182900","test_plugins","tests.integration","2026-09-24","passed","2026-09-24","","test_plugins","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","19144","test_automatic_failover_after_leader_issue","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
"Remove unit with force while storage is alive.","106721","test_app_force_removal","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_smoke","",""
"","37452","test_majority","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_synchronous_policy","",""
"","36","test_database_is_up[1]","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
"","863905","test_discourse","tests.integration.new_relations","2026-09-24","passed","2026-09-24","","test_new_relations_2","",""
"","0","test_delete_pod","tests.integration","2026-09-24","skipped","2026-09-24","","test_backups_gcp","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-09-24","skipped","2026-09-24","","test_charm","",""
"Test that's possible to change PostgreSQL parameters.","78279","test_postgresql_parameters_change","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","153351","test_trust_blocked_deployment","tests.integration","2026-09-24","passed","2026-09-24","","test_trust","",""
"Build and deploy three unit of PostgreSQL.","197855","test_build_and_deploy","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_self_healing_1","",""
"Test data persists through a graceful restart.","19186","test_persist_data_through_graceful_restart","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
"Test promoting the standby cluster.","57855","test_promote_standby","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_async_replication","",""
"","15569","test_default_all","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_synchronous_policy","",""
"Test that async replication fails over correctly.","76325","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_async_replication","",""
"Test superuser actions and the request for more permissions.","617","test_user_with_extra_roles","tests.integration.new_relations","2026-09-24","passed","2026-09-24","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1713668","test_pitr_backup_ceph","tests.integration","2026-09-24","passed","2026-09-24","","test_backups_pitr_ceph","",""
"Test that a previously broken relation would be functional if restored.","136095","test_restablish_relation","tests.integration.new_relations","2026-09-24","passed","2026-09-24","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test the backup and restore actions.","0","test_backup_aws","tests.integration","2026-09-24","skipped","2026-09-24","","test_backups_aws","",""
"","211319","test_pg_hba","tests.integration","2026-09-24","passed","2026-09-24","","test_pg_hba","",""
"Test that the pre-upgrade-check action runs successfully.","11298","test_pre_upgrade_check","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_upgrade","",""
"","33","test_database_is_up[2]","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","33442","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_self_healing_1","",""
"","83033","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-09-24","passed","2026-09-24","","test_self_healing_1","",""
"","309389","test_glauth_integration","tests.integration","2026-09-24","passed","2026-09-24","","test_ldap","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","90170","test_config_parameters","tests.integration","2026-09-24","passed","2026-09-24","","test_config","",""
"Test wal_compression configuration parameter.","49535","test_wal_compression_config","tests.integration","2026-09-24","passed","2026-09-24","","test_config","",""
"","111","test_exporter_is_up[0]","tests.integration","2026-09-24","passed","2026-09-24","","test_charm","",""
