"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2026-09-23","skipped","2026-09-23","","test_wrong_arch","",""
"","19","test_database_is_up[1]","tests.integration","2026-09-23","passed","2026-09-23","","test_charm","",""
"","15","test_labels_consistency_across_pods[2]","tests.integration","2026-09-23","passed","2026-09-23","","test_charm","",""
"Test that async replication fails over correctly.","85736","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_async_replication","",""
"Test promoting the standby cluster.","55639","test_promote_standby","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_async_replication","",""
"","262965","test_extensions_blocking","tests.integration","2026-09-23","passed","2026-09-23","","test_db","",""
"Test that an application can connect to different clusters of the same database.","79475","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2026-09-23","passed","2026-09-23","","test_new_relations_1","",""
"","27","test_labels_consistency_across_pods[0]","tests.integration","2026-09-23","passed","2026-09-23","","test_charm","",""
"Build the charm and deploy it.","196775","test_deploy_active","tests.integration","2026-09-23","passed","2026-09-23","","test_password_rotation","",""
"Build and deploy three unit of PostgreSQL.","194928","test_build_and_deploy","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_self_healing_2","",""
"Scale the database to zero units and scale up again.","209421","test_scaling_to_zero","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_self_healing_2","",""
"Test password rotation action.","152976","test_password_rotation","tests.integration","2026-09-23","passed","2026-09-23","","test_password_rotation","",""
"Test async replication between two PostgreSQL clusters.","203419","test_async_replication","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_async_replication","",""
"Test application deploy in dirty environment with garbage storage from another application.","584195","test_app_resources_conflicts","tests.integration.ha_tests","2026-09-23","passed","2026-09-23","","test_smoke","",""
"Tests deploying and relating to the Indico charm.","812048","test_indico_datatabase","tests.integration.new_relations","2026-09-23","passed","2026-09-23","","test_new_relations_2","",""
