"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy one unit of PostgreSQL and then test the available plugins.","179728","test_plugins","tests.integration","2026-09-26","passed","2026-09-26","","test_plugins","",""
"","39645","test_application_removal","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","347829","test_tls","tests.integration","2026-09-26","passed","2026-09-26","","test_tls","",""
"Tests that an automatic failover is triggered after an issue happens in the leader.","20191","test_automatic_failover_after_leader_issue","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Tests deploying and relating to the Indico charm.","1021442","test_indico_datatabase","tests.integration.new_relations","2026-09-26","passed","2026-09-26","","test_new_relations_2","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-09-26","skipped","2026-09-26","","test_backups_gcp","",""
"Test that user can't connect with empty password.","2044","test_db_connection_with_empty_password","tests.integration","2026-09-26","passed","2026-09-26","","test_password_rotation","",""
"Test data is replicated to new units after a scale up.","245374","test_scale_down_and_up","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"","22","test_labels_consistency_across_pods[0]","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","66043","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_1","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","1","test_deploy_stable","tests.integration.ha_tests","2026-09-26","skipped","2026-09-26","","test_rollback_to_master_label","",""
"Build and deploy three unit of PostgreSQL.","141618","test_build_and_deploy","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_synchronous_policy","",""
"Scale the database to zero units and scale up again.","194684","test_scaling_to_zero","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_self_healing_2","",""
"Test that the pre-upgrade-check action runs successfully.","7163","test_pre_upgrade_check","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade_from_stable","",""
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","146442","test_build_and_deploy","tests.integration","2026-09-26","passed","2026-09-26","","test_charm","",""
"Test updating from stable channel.","291207","test_upgrade_from_stable","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_upgrade_from_stable","",""
"Write to primary, read data from secondaries (check consistency).","15480","test_consistency","tests.integration.ha_tests","2026-09-26","passed","2026-09-26","","test_replication","",""
